Epoch: 1/100	Training Loss: 0.521	Validation Loss: 0.425	Validation Acc: 88.582
Epoch: 2/100	Training Loss: 0.414	Validation Loss: 0.410	Validation Acc: 88.792
Epoch: 3/100	Training Loss: 0.408	Validation Loss: 0.408	Validation Acc: 88.882
Epoch: 4/100	Training Loss: 0.406	Validation Loss: 0.407	Validation Acc: 88.912
Epoch: 5/100	Training Loss: 0.404	Validation Loss: 0.406	Validation Acc: 88.972
Epoch: 6/100	Training Loss: 0.404	Validation Loss: 0.403	Validation Acc: 88.852
Epoch: 7/100	Training Loss: 0.403	Validation Loss: 0.405	Validation Acc: 88.822
Epoch: 8/100	Training Loss: 0.402	Validation Loss: 0.406	Validation Acc: 88.822
Epoch: 9/100	Training Loss: 0.402	Validation Loss: 0.406	Validation Acc: 88.822
Epoch: 10/100	Training Loss: 0.402	Validation Loss: 0.406	Validation Acc: 88.912
Epoch: 11/100	Training Loss: 0.401	Validation Loss: 0.403	Validation Acc: 88.912
Epoch: 12/100	Training Loss: 0.401	Validation Loss: 0.403	Validation Acc: 88.882
Epoch: 13/100	Training Loss: 0.401	Validation Loss: 0.403	Validation Acc: 88.852
Epoch: 14/100	Training Loss: 0.401	Validation Loss: 0.404	Validation Acc: 88.882
Epoch: 15/100	Training Loss: 0.400	Validation Loss: 0.404	Validation Acc: 88.882
Epoch: 16/100	Training Loss: 0.401	Validation Loss: 0.402	Validation Acc: 88.882
Epoch: 17/100	Training Loss: 0.400	Validation Loss: 0.404	Validation Acc: 88.942
Epoch: 18/100	Training Loss: 0.400	Validation Loss: 0.404	Validation Acc: 88.942
Epoch: 19/100	Training Loss: 0.399	Validation Loss: 0.402	Validation Acc: 88.882
Epoch: 20/100	Training Loss: 0.399	Validation Loss: 0.404	Validation Acc: 88.852
Epoch: 21/100	Training Loss: 0.400	Validation Loss: 0.404	Validation Acc: 88.942
Epoch: 22/100	Training Loss: 0.400	Validation Loss: 0.403	Validation Acc: 89.032
Epoch: 23/100	Training Loss: 0.399	Validation Loss: 0.403	Validation Acc: 89.002
Epoch: 24/100	Training Loss: 0.399	Validation Loss: 0.403	Validation Acc: 89.002
Epoch: 25/100	Training Loss: 0.398	Validation Loss: 0.404	Validation Acc: 88.942
Epoch: 26/100	Training Loss: 0.399	Validation Loss: 0.403	Validation Acc: 89.002
Epoch: 27/100	Training Loss: 0.399	Validation Loss: 0.405	Validation Acc: 89.002
Epoch: 28/100	Training Loss: 0.399	Validation Loss: 0.403	Validation Acc: 88.972
Epoch: 29/100	Training Loss: 0.399	Validation Loss: 0.404	Validation Acc: 88.942
Epoch: 30/100	Training Loss: 0.398	Validation Loss: 0.404	Validation Acc: 88.972
Epoch: 31/100	Training Loss: 0.398	Validation Loss: 0.403	Validation Acc: 88.972
Epoch: 32/100	Training Loss: 0.399	Validation Loss: 0.406	Validation Acc: 88.642
Epoch: 33/100	Training Loss: 0.398	Validation Loss: 0.404	Validation Acc: 88.612
Epoch: 34/100	Training Loss: 0.397	Validation Loss: 0.403	Validation Acc: 88.612
Epoch: 35/100	Training Loss: 0.397	Validation Loss: 0.402	Validation Acc: 88.642
Epoch: 36/100	Training Loss: 0.397	Validation Loss: 0.403	Validation Acc: 88.642
Epoch: 37/100	Training Loss: 0.397	Validation Loss: 0.402	Validation Acc: 88.582
Epoch: 38/100	Training Loss: 0.396	Validation Loss: 0.403	Validation Acc: 88.492
Epoch: 39/100	Training Loss: 0.396	Validation Loss: 0.404	Validation Acc: 88.462
Epoch: 40/100	Training Loss: 0.396	Validation Loss: 0.403	Validation Acc: 88.702
Epoch: 41/100	Training Loss: 0.395	Validation Loss: 0.403	Validation Acc: 88.341
Epoch: 42/100	Training Loss: 0.396	Validation Loss: 0.403	Validation Acc: 88.281
Epoch: 43/100	Training Loss: 0.396	Validation Loss: 0.403	Validation Acc: 88.311
Epoch: 44/100	Training Loss: 0.396	Validation Loss: 0.404	Validation Acc: 88.281
Epoch: 45/100	Training Loss: 0.395	Validation Loss: 0.405	Validation Acc: 88.311
Epoch: 46/100	Training Loss: 0.395	Validation Loss: 0.404	Validation Acc: 88.401
Epoch: 47/100	Training Loss: 0.395	Validation Loss: 0.403	Validation Acc: 88.401
Epoch: 48/100	Training Loss: 0.395	Validation Loss: 0.405	Validation Acc: 88.341
Epoch: 49/100	Training Loss: 0.395	Validation Loss: 0.404	Validation Acc: 88.311
Epoch: 50/100	Training Loss: 0.394	Validation Loss: 0.405	Validation Acc: 88.221
Epoch: 51/100	Training Loss: 0.394	Validation Loss: 0.405	Validation Acc: 88.311
Epoch: 52/100	Training Loss: 0.394	Validation Loss: 0.405	Validation Acc: 88.221
Epoch: 53/100	Training Loss: 0.394	Validation Loss: 0.405	Validation Acc: 88.131
